"GMSL","year"
118.11,2027-07-30
119.14,2027-08-09
118.36,2027-08-19
118.07,2027-08-29
117.21,2027-09-08
116.58,2027-09-18
116.59,2027-09-28
116.04,2027-10-08
116.71,2027-10-18
117.57,2027-10-28
118.43,2027-11-07
117.95,2027-11-17
118.99,2027-11-27
120.68,2027-12-07
121.5,2027-12-17
122.34,2027-12-27
123.38,2028-01-06
124.64,2028-01-16
126.78,2028-01-26
125.36,2028-02-05
125.24,2028-02-15
126.4,2028-02-25
126.69,2028-03-06
126.97,2028-03-16
127.19,2028-03-26
126.57,2028-04-05
126,2028-04-15
125.07,2028-04-25
122.93,2028-05-05
123.52,2028-05-15
122.25,2028-05-25
122.35,2028-06-04
122.36,2028-06-14
122.4,2028-06-24
120.95,2028-07-04
122.63,2028-07-14
121.84,2028-07-24
121.69,2028-08-03
121.48,2028-08-13
122.51,2028-08-23
121.73,2028-09-02
121.44,2028-09-12
120.58,2028-09-22
119.95,2028-10-02
119.96,2028-10-12
119.41,2028-10-22
120.09,2028-11-01
120.94,2028-11-11
121.8,2028-11-21
121.33,2028-12-01
122.36,2028-12-11
124.05,2028-12-21
124.87,2028-12-31
125.71,2029-01-10
126.76,2029-01-20
128.01,2029-01-30
130.15,2029-02-09
128.74,2029-02-19
128.61,2029-03-01
129.77,2029-03-11
130.06,2029-03-21
130.34,2029-03-31
130.57,2029-04-10
129.94,2029-04-20
129.38,2029-04-30
128.44,2029-05-10
126.3,2029-05-20
126.9,2029-05-30
125.63,2029-06-09
125.72,2029-06-19
125.73,2029-06-29
125.77,2029-07-09
124.32,2029-07-19
126,2029-07-29
125.21,2029-08-08
125.06,2029-08-18
124.86,2029-08-28
125.88,2029-09-07
125.1,2029-09-17
124.82,2029-09-27
123.95,2029-10-07
123.32,2029-10-17
123.34,2029-10-27
122.78,2029-11-06
123.46,2029-11-16
124.31,2029-11-26
125.17,2029-12-06
124.7,2029-12-16
125.74,2029-12-26
127.42,2030-01-05
128.25,2030-01-15
129.08,2030-01-25
130.13,2030-02-04
131.39,2030-02-14
133.53,2030-02-24
132.11,2030-03-06
131.98,2030-03-16
133.14,2030-03-26
133.43,2030-04-05
133.71,2030-04-15
133.94,2030-04-25
133.31,2030-05-05
132.75,2030-05-15
131.82,2030-05-25
129.68,2030-06-04
130.27,2030-06-14
129,2030-06-24
129.09,2030-07-04
129.11,2030-07-14
129.14,2030-07-24
127.69,2030-08-03
129.38,2030-08-13
128.58,2030-08-23
128.43,2030-09-02
128.23,2030-09-12
129.26,2030-09-22
128.48,2030-10-02
128.19,2030-10-12
127.32,2030-10-22
126.69,2030-11-01
126.71,2030-11-11
126.15,2030-11-21
126.83,2030-12-01
127.68,2030-12-11
128.55,2030-12-21
128.07,2030-12-31
129.11,2031-01-10
130.8,2031-01-20
131.62,2031-01-30
132.45,2031-02-09
133.5,2031-02-19
134.76,2031-03-01
136.9,2031-03-11
135.48,2031-03-21
135.35,2031-03-31
136.52,2031-04-10
136.81,2031-04-20
137.08,2031-04-30
137.31,2031-05-10
136.69,2031-05-20
136.12,2031-05-30
135.19,2031-06-09
133.05,2031-06-19
133.64,2031-06-29
132.37,2031-07-09
