"GMSL","year"
29.68,2000-11-29
26.11,2000-12-09
25.86,2000-12-19
28.62,2000-12-29
27.3,2001-01-08
28.02,2001-01-18
26.97,2001-01-28
27.81,2001-02-07
25.31,2001-02-16
29.2,2001-02-26
32.18,2001-03-08
24.98,2001-03-18
28.68,2001-03-28
27.73,2001-04-07
30.31,2001-04-17
28.45,2001-04-27
25.78,2001-05-07
25.34,2001-05-17
25.1,2001-05-27
25.09,2001-06-06
24.72,2001-06-15
29.13,2001-06-25
31.68,2001-07-05
32.52,2001-07-15
28.68,2001-07-25
33.57,2001-08-04
32.15,2001-08-14
34.07,2001-08-24
36.12,2001-09-03
39.06,2001-09-13
40.26,2001-09-23
42.29,2001-10-03
37.91,2001-10-12
34.02,2001-10-22
37.85,2001-11-01
39.1,2001-11-11
34.04,2001-11-21
32.54,2001-12-01
30.77,2001-12-11
31.58,2001-12-21
33.01,2001-12-31
28.65,2002-01-10
30.72,2002-01-20
33.84,2002-01-30
31.4,2002-02-08
30.77,2002-02-18
33.77,2002-02-28
28.07,2002-03-10
29.25,2002-03-20
30.19,2002-03-30
32.68,2002-04-09
28.83,2002-04-19
30.09,2002-04-29
28.18,2002-05-09
29.84,2002-05-19
29.76,2002-05-29
26.74,2002-06-07
27.89,2002-06-17
32.64,2002-06-27
31.78,2002-07-07
34.32,2002-07-17
36.12,2002-07-27
38.56,2002-08-06
42.1,2002-08-16
39.12,2002-08-26
39.77,2002-09-05
41.34,2002-09-15
42.24,2002-09-25
41.01,2002-10-04
43.17,2002-10-14
47.78,2002-10-24
42.48,2002-11-03
42.65,2002-11-13
41.95,2002-11-23
37.83,2002-12-03
37.35,2002-12-13
37.74,2002-12-23
34.96,2003-01-02
32.7,2003-01-12
39.71,2003-01-21
39.11,2003-01-31
40.93,2003-02-10
34.88,2003-02-20
35,2003-03-02
35.92,2003-03-12
37.13,2003-03-22
36.63,2003-04-01
37.14,2003-04-11
35.42,2003-04-21
33.96,2003-05-01
33.99,2003-05-11
33.99,2003-05-20
33.82,2003-05-30
31.22,2003-06-09
34.02,2003-06-19
33.03,2003-06-29
34.57,2003-07-09
37.93,2003-07-19
36.64,2003-07-29
38.44,2003-08-08
37.18,2003-08-18
42.66,2003-08-28
44.47,2003-09-07
43.02,2003-09-16
43.61,2003-09-26
45.05,2003-10-06
44.02,2003-10-16
46.33,2003-10-26
43.04,2003-11-05
40.48,2003-11-15
35.36,2003-11-25
42.06,2003-12-05
42.14,2003-12-15
38.1,2003-12-25
37.77,2004-01-04
42.39,2004-01-13
42.35,2004-01-23
39.79,2004-02-02
32.7,2004-02-12
37.41,2004-02-22
38.91,2004-03-03
36.98,2004-03-13
36.87,2004-03-23
38.46,2004-04-02
36.85,2004-04-12
38.5,2004-04-22
34.13,2004-05-02
32.58,2004-05-11
28.74,2004-05-21
32.29,2004-05-31
31.17,2004-06-10
33.66,2004-06-20
39.36,2004-06-30
39.62,2004-07-10
38.92,2004-07-20
38.07,2004-07-30
40.32,2004-08-09
44.1,2004-08-19
43.97,2004-08-29
44.42,2004-09-07
48.97,2004-09-17
45.82,2004-09-27
46.1,2004-10-07
47.22,2004-10-17
44.85,2004-10-27
44.8,2004-11-06
44.7,2004-11-16
41.03,2004-11-26
44.91,2004-12-06
43.15,2004-12-16
46.82,2004-12-26
39.02,2005-01-04
38.33,2005-01-14
41.98,2005-01-24
42.96,2005-02-03
42.73,2005-02-13
41.5,2005-02-23
45.75,2005-03-05
44.53,2005-03-15
39.1,2005-03-25
40.93,2005-04-04
44.29,2005-04-14
38.6,2005-04-23
39.77,2005-05-03
40.76,2005-05-13
40.88,2005-05-23
40.58,2005-06-02
40.71,2005-06-12
41.89,2005-06-22
40.73,2005-07-02
44.03,2005-07-12
42.3,2005-07-22
45.73,2005-08-01
43.84,2005-08-11
44.95,2005-08-20
46.89,2005-08-30
48.12,2005-09-09
50.37,2005-09-19
50.63,2005-09-29
50.23,2005-10-09
47.3,2005-10-19
48.32,2005-10-29
51.57,2005-11-08
50.06,2005-11-18
50.08,2005-11-28
48.22,2005-12-08
47.12,2005-12-17
46.49,2005-12-27
43.44,2006-01-06
42.21,2006-01-16
42.47,2006-01-26
42.46,2006-02-05
41.22,2006-02-15
42.23,2006-02-25
44.62,2006-03-07
38.38,2006-03-17
40.37,2006-03-27
41.24,2006-04-06
39.21,2006-04-15
37.95,2006-04-25
37.95,2006-05-05
41.06,2006-05-15
42.88,2006-05-25
41.28,2006-06-04
42.64,2006-06-14
43.3,2006-06-24
45.88,2006-07-04
47.28,2006-07-14
46.47,2006-07-24
46.64,2006-08-03
44.59,2006-08-12
47.51,2006-08-22
51.35,2006-09-01
53.88,2006-09-11
55.26,2006-09-21
51.19,2006-10-01
51.13,2006-10-11
53.77,2006-10-21
53.58,2006-10-31
51.93,2006-11-20
47.61,2006-11-30
50.41,2006-12-09
46.97,2006-12-19
46.98,2006-12-29
45.58,2007-01-08
44.18,2007-01-18
43.79,2007-01-28
43.32,2007-02-07
44.32,2007-02-17
48.34,2007-02-27
45.07,2007-03-09
44.25,2007-03-19
42.76,2007-03-29
45.66,2007-04-07
45.35,2007-04-17
44.09,2007-04-27
39.12,2007-05-07
42.18,2007-05-17
42.63,2007-05-27
42.64,2007-06-06
42.34,2007-06-16
43.67,2007-06-26
44.39,2007-07-06
43.19,2007-07-16
42.01,2007-07-25
43.79,2007-08-04
49.75,2007-08-14
47.24,2007-08-24
46.41,2007-09-03
47.61,2007-09-13
51.46,2007-09-23
49.65,2007-10-03
49.14,2007-10-13
52.13,2007-10-23
49.83,2007-11-02
51.64,2007-11-12
52.72,2007-11-21
50.68,2007-12-01
49.21,2007-12-11
44.02,2007-12-21
43.32,2007-12-31
45.67,2008-01-10
46.74,2008-01-20
45.54,2008-01-30
41.59,2008-02-09
44.06,2008-02-19
41.51,2008-02-29
43.85,2008-03-10
44.21,2008-03-19
42.05,2008-03-29
41.52,2008-04-08
41.51,2008-04-18
38.86,2008-04-28
40.73,2008-05-08
45.31,2008-05-18
48.31,2008-05-28
46.61,2008-06-07
47.45,2008-06-17
48.76,2008-06-27
48.2,2008-07-07
47.95,2008-07-16
48.81,2008-07-26
48.88,2008-08-05
51.99,2008-08-15
51.5,2008-08-25
52.6,2008-09-04
51.66,2008-09-14
53.55,2008-09-24
54.32,2008-10-04
54.95,2008-10-14
55.17,2008-10-24
53.27,2008-11-03
53,2008-11-12
51.38,2008-11-22
55.71,2008-12-02
51.05,2008-12-12
47.54,2008-12-22
48.61,2009-01-01
48.15,2009-01-11
49.94,2009-01-21
47.16,2009-01-31
46.3,2009-02-10
48.81,2009-02-20
49.08,2009-03-02
48.92,2009-03-11
49.61,2009-03-21
48.41,2009-03-31
47.46,2009-04-10
47.78,2009-04-20
47.07,2009-04-30
48.21,2009-05-10
46.86,2009-05-20
45.2,2009-05-30
48.02,2009-06-09
48.94,2009-06-19
47.58,2009-06-29
46.99,2009-07-08
50.56,2009-07-18
55.84,2009-07-28
54.27,2009-08-07
54.62,2009-08-17
56.58,2009-08-27
58.48,2009-09-06
61.03,2009-09-16
61.42,2009-09-26
60.79,2009-10-06
61.74,2009-10-16
63.22,2009-10-25
63.82,2009-11-04
59.79,2009-11-14
60.71,2009-11-24
58.23,2009-12-04
54.66,2009-12-14
58.79,2009-12-24
54.51,2010-01-03
54.25,2010-01-13
52.69,2010-01-23
50.12,2010-02-02
54.43,2010-02-12
57.5,2010-02-21
59.12,2010-03-03
51.09,2010-03-13
51.74,2010-03-23
50.96,2010-04-02
52.76,2010-04-12
51.83,2010-04-22
50.51,2010-05-02
51.39,2010-05-12
54.62,2010-05-22
53.34,2010-06-01
54.17,2010-06-11
55.64,2010-06-20
54.92,2010-06-30
52.97,2010-07-10
55.03,2010-07-20
54.86,2010-07-30
53.58,2010-08-09
55.64,2010-08-19
52.08,2010-08-29
55.17,2010-09-08
56.62,2010-09-18
55.52,2010-09-28
54.34,2010-10-08
58.62,2010-10-17
56.7,2010-10-27
54.31,2010-11-06
54.54,2010-11-16
51.15,2010-11-26
51.1,2010-12-06
50.18,2010-12-16
51.91,2010-12-26
49.55,2011-01-05
48.41,2011-01-15
48.54,2011-01-25
48.82,2011-02-04
49.15,2011-02-13
48.87,2011-02-23
47.58,2011-03-05
47.73,2011-03-15
43.6,2011-03-25
46.31,2011-04-04
46.31,2011-04-14
45.54,2011-04-24
42.42,2011-05-04
47.29,2011-05-14
47.94,2011-05-24
46.61,2011-06-03
50.67,2011-06-12
53.67,2011-06-22
50.73,2011-07-02
51.06,2011-07-12
51.7,2011-07-22
53.69,2011-08-01
58.21,2011-08-11
59.1,2011-08-21
61.13,2011-08-31
60.37,2011-09-10
58.47,2011-09-20
60.55,2011-09-30
62.42,2011-10-09
64.37,2011-10-19
58.64,2011-10-29
56.24,2011-11-08
57.31,2011-11-18
60.41,2011-11-28
57.91,2011-12-08
56.72,2011-12-18
56.29,2011-12-28
59.14,2012-01-07
58.22,2012-01-17
59.91,2012-01-26
58.67,2012-02-05
59.64,2012-02-15
58.66,2012-02-25
56.83,2012-03-06
56.74,2012-03-16
57.78,2012-03-26
56.43,2012-04-05
56.88,2012-04-15
57.64,2012-04-25
57.04,2012-05-05
57.58,2012-05-15
55.72,2012-05-24
57.42,2012-06-03
61.86,2012-06-13
60.27,2012-06-23
60.22,2012-07-03
64.69,2012-07-13
67.16,2012-07-23
66.39,2012-08-02
67.37,2012-08-12
64.4,2012-08-22
69.36,2012-09-01
69.21,2012-09-11
72.53,2012-09-20
72.61,2012-09-30
73.34,2012-10-10
71.41,2012-10-20
71.12,2012-10-30
71.33,2012-11-09
70.24,2012-11-19
69.08,2012-11-29
71.67,2012-12-09
67.51,2012-12-19
68.82,2012-12-29
67.05,2013-01-08
65.8,2013-01-17
68.2,2013-01-27
67.64,2013-02-06
65.71,2013-02-16
65.94,2013-02-26
67.11,2013-03-08
66.1,2013-03-18
66.37,2013-03-28
64.75,2013-04-07
60.3,2013-04-17
62.63,2013-04-27
62.93,2013-05-07
60.14,2013-05-16
59.1,2013-05-26
59.46,2013-06-05
59.58,2013-06-15
61.63,2013-06-25
60.58,2013-07-05
61.66,2013-07-15
65.11,2013-07-25
66.47,2013-08-04
62.64,2013-08-14
65.67,2013-08-24
67.81,2013-09-03
68.87,2013-09-12
68.97,2013-09-22
70.09,2013-10-02
69.96,2013-10-12
72.29,2013-10-22
72.24,2013-11-01
70.3,2013-11-11
70.27,2013-11-21
69.71,2013-12-01
65.11,2013-12-11
65.62,2013-12-21
66.87,2013-12-31
65.83,2014-01-09
66.64,2014-01-19
66.29,2014-01-29
67.39,2014-02-08
69,2014-02-18
69.47,2014-02-28
67.99,2014-03-10
67.24,2014-03-20
67.58,2014-03-30
65.72,2014-04-09
63.4,2014-04-19
61.51,2014-04-28
62.01,2014-05-08
60.73,2014-05-18
62.14,2014-05-28
63.36,2014-06-07
62.97,2014-06-17
65.8,2014-06-27
68.15,2014-07-07
69.32,2014-07-17
68.5,2014-07-27
72.17,2014-08-06
73.6,2014-08-16
74.35,2014-08-25
73.86,2014-09-04
74.96,2014-09-14
72.91,2014-09-24
75.04,2014-10-04
78.31,2014-10-14
77.21,2014-10-24
73.47,2014-11-03
72.99,2014-11-13
69.36,2014-11-23
71.72,2014-12-03
77.74,2014-12-13
73.94,2014-12-22
68.35,2015-01-01
71.46,2015-01-11
71.68,2015-01-21
74.75,2015-01-31
73.78,2015-02-10
77.57,2015-02-20
75.88,2015-03-02
73.33,2015-03-12
73.42,2015-03-22
75.41,2015-04-01
74.28,2015-04-11
74.09,2015-04-20
73.67,2015-04-30
71.41,2015-05-10
69.89,2015-05-20
73.47,2015-05-30
75.54,2015-06-09
77.27,2015-06-19
78.95,2015-06-29
79.38,2015-07-09
81.77,2015-07-19
82.34,2015-07-29
83.45,2015-08-08
82.24,2015-08-17
89,2015-08-27
89.29,2015-09-06
88.54,2015-09-16
88.75,2015-09-26
89.7,2015-10-06
90,2015-10-16
92.16,2015-10-26
88.63,2015-11-05
85.38,2015-11-15
88.68,2015-11-25
85.89,2015-12-05
82.79,2015-12-14
80.83,2015-12-24
79.02,2016-01-03
84.34,2016-01-13
86.87,2016-01-23
81.29,2016-02-02
84.31,2016-02-12
83.28,2016-02-22
83.63,2016-03-03
82.44,2016-03-13
85.06,2016-03-23
81.75,2016-04-01
80.99,2016-04-11
78.06,2016-04-21
77.15,2016-05-01
75.34,2016-05-11
75.12,2016-05-21
78.17,2016-05-31
78.61,2016-06-10
80.66,2016-06-20
79.74,2016-06-30
79.84,2016-07-10
80.09,2016-07-20
78.32,2016-07-29
78.88,2016-08-08
78.95,2016-08-18
83.82,2016-08-28
86.21,2016-09-07
85.23,2016-09-17
82.79,2016-09-27
82.27,2016-10-07
84.9,2016-10-17
86.01,2016-10-27
85.58,2016-11-06
86.85,2016-11-16
89.21,2016-11-25
84.51,2016-12-05
81.76,2016-12-15
81.09,2016-12-25
79.77,2017-01-04
80.14,2017-01-14
78.33,2017-01-24
77.57,2017-02-03
77.01,2017-02-13
79.01,2017-02-23
78.41,2017-03-05
79.13,2017-03-15
80.22,2017-03-24
80.87,2017-04-03
78.38,2017-04-13
78.75,2017-04-23
76.99,2017-05-03
77.42,2017-05-13
74.42,2017-05-23
77.83,2017-06-02
78.6,2017-06-12
78.66,2017-06-22
78.37,2017-07-02
78.9,2017-07-12
81.14,2017-07-21
85.64,2017-07-31
85.03,2017-08-10
85.5,2017-08-20
88.04,2017-08-30
90.08,2017-09-09
89.89,2017-09-19
87.6,2017-09-29
87.63,2017-10-09
88.62,2017-10-19
89.01,2017-10-29
91.46,2017-11-08
89.98,2017-11-17
91.27,2017-11-27
89.28,2017-12-07
88.59,2017-12-17
84.99,2017-12-27
84.34,2018-01-06
83.98,2018-01-16
84.51,2018-01-26
86.35,2018-02-05
84.17,2018-02-15
81.39,2018-02-25
84.86,2018-03-07
84.74,2018-03-16
81.45,2018-03-26
79,2018-04-05
80.47,2018-04-15
80.65,2018-04-25
81.59,2018-05-05
81.22,2018-05-15
81.05,2018-05-25
83.39,2018-06-04
82.93,2018-06-14
81.53,2018-06-24
81.71,2018-07-03
84.95,2018-07-13
87.16,2018-07-23
86.44,2018-08-02
87.41,2018-08-12
88.93,2018-08-22
91.33,2018-09-01
94.83,2018-09-11
94.01,2018-09-21
97.4,2018-10-01
95.24,2018-10-11
95.64,2018-10-21
96.95,2018-10-30
94.06,2018-11-09
91.45,2018-11-19
89.29,2018-11-29
89.91,2018-12-09
88.95,2018-12-19
88.14,2018-12-29
86.76,2019-01-08
92.22,2019-01-18
89.23,2019-01-28
91.39,2019-02-07
89.51,2019-02-17
88.88,2019-02-26
89.6,2019-03-08
91.9,2019-03-18
89.1,2019-03-28
87.77,2019-04-07
85.98,2019-04-17
89.77,2019-04-27
90.88,2019-05-07
89.32,2019-05-17
88.26,2019-05-27
88.61,2019-06-06
91.36,2019-06-16
90.52,2019-06-25
90.66,2019-07-05
93.14,2019-07-15
92.99,2019-07-25
93.98,2019-08-04
98.32,2019-08-14
101.4,2019-08-24
100.44,2019-09-03
102.31,2019-09-13
101.93,2019-09-23
99.62,2019-10-03
100.85,2019-10-13
98.07,2019-10-22
96.53,2019-11-01
100.64,2019-11-11
99.9,2019-11-21
98.26,2019-12-01
98.07,2019-12-11
94.47,2019-12-21
93.86,2019-12-31
90.85,2020-01-10
88.9,2020-01-20
91.26,2020-01-30
85.61,2020-02-09
91.76,2020-02-18
90.73,2020-02-28
93.05,2020-03-09
90.17,2020-03-19
90.91,2020-03-29
90.09,2020-04-08
88.21,2020-04-18
91.56,2020-04-28
94.23,2020-05-08
93.06,2020-05-18
90.72,2020-05-28
91.65,2020-06-07
88.54,2020-06-16
90.28,2020-06-26
91.58,2020-07-06
93.33,2020-07-16
94.18,2020-07-26
95.1,2020-08-05
94.35,2020-08-05
95.38,2020-08-15
97.07,2020-08-25
97.89,2020-09-04
98.73,2020-09-14
99.77,2020-09-24
101.03,2020-10-04
103.17,2020-10-14
101.76,2020-10-24
101.63,2020-11-03
102.79,2020-11-13
103.08,2020-11-23
103.36,2020-12-03
103.58,2020-12-13
102.96,2020-12-23
102.39,2021-01-02
101.46,2021-01-12
99.32,2021-01-22
99.92,2021-02-01
98.65,2021-02-11
98.74,2021-02-21
98.75,2021-03-03
98.79,2021-03-13
97.34,2021-03-23
99.02,2021-04-02
98.23,2021-04-12
98.08,2021-04-22
97.88,2021-05-02
98.9,2021-05-12
98.12,2021-05-22
97.84,2021-06-01
96.97,2021-06-11
96.34,2021-06-21
96.36,2021-07-01
95.8,2021-07-11
96.48,2021-07-21
97.33,2021-07-31
98.19,2021-08-10
97.72,2021-08-20
